# idx	freq_hz
0	12011380
1	12012130
2	12011940
3	12010760
4	12010660
5	12010580
6	12010330
7	12010770
8	12010430
9	12010110
10	12010420
11	12010750
12	12010630
13	12009560
14	12009030
15	12009130
16	12009400
17	12009890
18	12010120
19	12008840
20	12008280
21	12008810
22	12008620
23	12008020
24	12009020
25	12008740
26	12008910
27	12008490
28	12009140
29	12009400
30	12008880
31	12008060
32	12008740
33	12008960
34	12009250
35	12009610
36	12009230
37	12008890
38	12008860
39	12008680
40	12008510
41	12008970
42	12008930
43	12008560
44	12009010
45	12009390
46	12008690
47	12008390
48	12007730
49	12008180
50	12008350
51	12008010
52	12008740
53	12009640
54	12009260
55	12008690
56	12009050
57	12009860
58	12009640
59	12008440
60	12008500
61	12009830
62	12007840
63	12007070
64	12007070
65	12006920
66	12007160
67	12007700
68	12008050
69	12008230
70	12008540
71	12007700
72	12008030
73	12007860
74	12007700
75	12007660
76	12007470
77	12007160
78	12008110
79	12008160
80	12008110
81	12008430
82	12008500
83	12008400
84	12008590
85	12008830
86	12009330
87	12009650
88	12009690
89	12009860
90	12009960
91	12009880
92	12009500
93	12009810
94	12009320
95	12009100
96	12009210
97	12009410
98	12009710
99	12010060
100	12010170
101	12009760
102	12009630
103	12010710
104	12009200
105	12008680
106	12008510
107	12008870
108	12007500
109	12008050
110	12008620
111	12007700
112	12006320
113	12007330
114	12007920
115	12007760
116	12007200
117	12007860
118	12007310
119	12007650
120	12007780
121	12007810
122	12007520
123	12007510
124	12007960
125	12007550
126	12007020
127	12007450
128	12008400
129	12007880
130	12007930
131	12007390
132	12007920
133	12008350
134	12007200
135	12006770
136	12007070
137	12007310
138	12006980
139	12006580
140	12005810
141	12006060
142	12006240
143	12007240
144	12006820
145	12006110
146	12007040
147	12006690
148	12006950
149	12006900
150	12006610
151	12006140
152	12006190
153	12006730
154	12005040
155	12005230
156	12005480
157	12005800
158	12005810
159	12005030
160	12004460
161	12004380
162	12004970
163	12004740
164	12005320
165	12005900
166	12004970
167	12004980
168	12005320
169	12005860
170	12006660
171	12005840
172	12005440
173	12005910
174	12006170
175	12006250
176	12005710
177	12005250
178	12004840
179	12004450
180	12004530
